"MCHC"	"cell #"	"D"	"height"	"<u>"	"radius"	"area"	"volume"	"sphericity"	"<u>"	"C2-1"	"C2-2"	"C2-R"	"HMAX"	"SMAX"	"Concavity"	"D1"	"D2"	"DR"
32	2.5	0	1.10578275	18.66841425	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	0.098	1.11119475	18.743556	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	0.196	1.12733625	18.80904125	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	0.294	1.1539605	18.9964335	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	0.392	1.1906825	19.192382	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	0.49	1.2370565	19.44546425	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	0.588	1.292532	19.67530775	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	0.686	1.35642075	19.93612	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	0.784	1.42784275	20.099823	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	0.882	1.50574625	20.2230915	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	0.98	1.58892225	20.23272	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	1.078	1.676051	20.168915	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	1.176	1.765736	19.97933875	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	1.274	1.85657575	19.93391975	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	1.372	1.9471645	19.572339	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
