"MCHC"	"cell #"	"D"	"height"	"<u>"	"radius"	"area"	"volume"	"sphericity"	"<u>"	"C2-1"	"C2-2"	"C2-R"	"HMAX"	"SMAX"	"Concavity"	"D1"	"D2"	"DR"
32	1	0	1.008329	15.258595	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	0.098	1.01234	15.33035	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	0.196	1.024296	15.423369	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	0.294	1.044001	15.641103	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	0.392	1.071191	15.881254	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	0.49	1.105553	16.191043	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	0.588	1.146642	16.483256	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	0.686	1.193987	16.834216	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	0.784	1.24702	17.068021	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	0.882	1.30512	17.296961	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	0.98	1.367618	17.430388	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	1.078	1.433788	17.445023	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
